rule_name,spec_text,cp_name_1,coverage_desc_1,cp_name_2,coverage_desc_2,cp_name_3,coverage_desc_3,cp_name_4,coverage_desc_4,cp_name_5,coverage_desc_5,cp_name_6,coverage_desc_6,cp_name_7,coverage_desc_7,cp_name_8,coverage_desc_8,cp_name_9,coverage_desc_9,cp_name_10,coverage_desc_10,cp_name_11,coverage_desc_11,cp_name_12,coverage_desc_12,cp_name_13,coverage_desc_13,cp_name_14,coverage_desc_14,cp_name_15,coverage_desc_15,cp_name_16,coverage_desc_16,cp_name_17,coverage_desc_17,cp_name_18,coverage_desc_18,cp_name_19,coverage_desc_19,cp_name_20,coverage_desc_20,cp_name_21,coverage_desc_21,cp_name_22,coverage_desc_22,cp_name_23,coverage_desc_23,coverage_status,explanation,gaps,cp_name_24,coverage_desc_24,cp_name_25,coverage_desc_25,cp_name_26,coverage_desc_26,cp_name_27,coverage_desc_27,cp_name_28,coverage_desc_28,cp_name_29,coverage_desc_29,cp_name_30,coverage_desc_30,cp_name_31,coverage_desc_31,cp_name_32,coverage_desc_32,cp_name_33,coverage_desc_33,cp_name_34,coverage_desc_34,cp_name_35,coverage_desc_35,cp_name_36,coverage_desc_36
ELEN,"The maximum size in bits of a vector element that any operation can produce or consume, ELEN {ge} 8, which must be a power of 2.",cp_ssstrictv_widening_vd_sew_eq_elen,"Coverpoint tests the ELEN boundary by setting SEW=ELEN and executing widening instructions, which would require EEW=2*ELEN exceeding the maximum element width",cp_ssstrictv_narrowing_vs2_sew_eq_elen,"Coverpoint directly tests the ELEN boundary by setting SEW=ELEN for narrowing instructions, which requires source EEW=2*ELEN exceeding the maximum supported element width",cp_ssstrictv_widen_max_sew,Coverpoint directly exercises the ELEN boundary by setting SEW=ELEN and verifying that widening operations producing EEW=2*SEW exceeding ELEN are treated as reserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The coverpoints (cp_ssstrictv_widening_vd_sew_eq_elen, cp_ssstrictv_narrowing_vs2_sew_eq_elen, cp_ssstrictv_widen_max_sew) collectively exercise ELEN across the relevant scenarios: edge values, register selections, masking patterns, LMUL/SEW configurations, and reserved encodings as applicable. Results are verified against the Sail reference model, providing coverage of the architectural behavior described by the rule.",,,,,,,,,,,,,,,,,,,,,,,,,,,
VLEN,"The number of bits in a single vector register, VLEN {ge} ELEN, which must be a power of 2, and must be no greater than 2^16^.",implicit,Rule states a definition or permitted implementation behavior; no concrete test possible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"VLEN is a hardware parameter (power-of-2, ≥ELEN, ≤2^16); it is a definitional constant with no runtime instruction to observe or exercise.",,,,,,,,,,,,,,,,,,,,,,,,,,,
VILL_IMPLICIT_ENCODING,"A small implementation supporting ELEN=32 requires only seven bits of state in vtype: two bits for ma and ta, two bits for vsew[1:0] and three bits for vlmul[2:0].  The illegal value represented by vill can be internally encoded using the illegal 64-bit combination in vsew[1:0] without requiring an additional storage bit to hold vill.",implicit,Rule states a definition or permitted implementation behavior; no concrete test possible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The rule describes an optional internal implementation encoding for the vill bit; it is an architectural permission, not a required observable behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,,
HW_MSTATUS_VS_DIRTY_UPDATE,"Implementations may also change mstatus.VS or vsstatus.VS from Initial or Clean to Dirty at any time, even when there is no change in vector state.",untestable,Implementation-permissive rule (MAY); no required behavior to check.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,Rule permits hardware to freely set mstatus.VS=Dirty at any time without any vector state change; no test can mandate or observe this discretionary hardware action.,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESERVED_VILL_SET,Implementations may set vill in either case.,cp_ssstrictv_widening_vd_sew_eq_elen,"When the widening operation requires unsupported EEW=2*ELEN, the encoding is reserved and implementations may set vill, which this coverpoint verifies leads to a trap",cp_ssstrictv_vzext_src_reserved,"Reserved encodings from unsupported source EEW/EMUL may cause implementations to set vill, which this coverpoint exercises by triggering traps on such configurations",cp_ssstrictv_vmvnr_off_group,"When Ssstrictv causes a trap on these reserved off-group encodings, it partially covers the implementation choice of how reserved encodings are handled",cp_ssstrictv_vzext_vf2_reserved,"The reserved encoding from unsupported source EEW/EMUL may cause implementations to set vill, which this coverpoint exercises",cp_ssstrictv_vzext_vf4_reserved,"The reserved encodings tested may cause implementations to set vill, which this coverpoint partially exercises by expecting a trap",cp_ssstrictv_vzext_vf8_reserved,"When the reserved encoding is detected, implementations may set vill, which this coverpoint verifies by expecting a trap",cp_ssstrictv_vsext_src_reserved,"When source EEW or EMUL is out of range, implementations may set vill, which this coverpoint exercises by expecting a trap",cp_ssstrictv_vlmul_100_reserved,"Verifies the implementation sets vill when encountering the reserved vlmul=100 encoding, directly testing the permitted behavior described by this rule.",cp_vtype_walking1s,Walking 1s into reserved bit positions tests that the implementation may set vill for reserved encodings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The coverpoints (cp_ssstrictv_widening_vd_sew_eq_elen, cp_ssstrictv_vzext_src_reserved, cp_ssstrictv_vmvnr_off_group, cp_ssstrictv_vzext_vf2_reserved, cp_ssstrictv_vzext_vf4_reserved, cp_ssstrictv_vzext_vf8_reserved, ...) collectively exercise RESERVED_VILL_SET across the relevant scenarios: edge values, register selections, masking patterns, LMUL/SEW configurations, and reserved encodings as applicable. Results are verified against the Sail reference model, providing coverage of the architectural behavior described by the rule.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vreg_count,"The vector extension adds 32 architectural vector registers, v0-v31 to the base scalar RISC-V ISA.",cp_custom_fmv_fs_vs2_all_lmul,"Coverpoint iterates over all 32 vs2 register values (v0-v31), partially covering the existence of all 32 architectural vector registers.",cp_ssstrictv_ls_seg_vd_overflow_emulgt1,"Tests the boundary condition that vector registers only span v0-v31, verifying trap when segment addressing would exceed this range",cp_vd,"cp_vd exercises all 32 vector destination registers vd=0-31, directly verifying the 32 architectural vector registers v0-v31 exist and are addressable as destinations.",cp_vs1,"cp_vs1 exercises all 32 vector registers v0-v31 as the vs1 source operand, directly covering the architectural register count.",cmp_vd_vs1_vs2,"Testing vd=vs1=vs2 across the full range of vector registers (v0-v31, or v1-v31 for nv0 variant) exercises the architectural vector register space.",cp_vs3,"cp_vs3 exercises all 32 vector registers (vs3=0-31) as store data sources, directly verifying the 32 architectural vector registers v0-v31.",cmp_vs3_vs2,The lte30 through lte24 variants constrain register selection to stay within the 32 architectural vector registers (v0-v31) when multiple segment fields occupy successive register groups.,cp_vs2,"cp_vs2 exercises all 32 vector registers v0-v31 as the vs2 source operand, directly covering the existence and accessibility of the 32 architectural vector registers.",cmp_vs1_vs2,"cmp_vs1_vs2 iterates over all 32 vector registers (v0-v31) as possible values for the shared vs1/vs2 register, exercising the full architectural vector register file.",cr_vs2_vs1_edges,"cr_vs2_vs1_edges uses edge register numbers (e.g., v0, v1, v8, v16, v24, v30, v31) for both vs2 and vs1, exercising the boundaries of the 32 architectural vector registers.",,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The coverpoints (cp_custom_fmv_fs_vs2_all_lmul, cp_ssstrictv_ls_seg_vd_overflow_emulgt1, cp_vd, cp_vs1, cmp_vd_vs1_vs2, cp_vs3, ...) collectively exercise vreg_count across the relevant scenarios: edge values, register selections, masking patterns, LMUL/SEW configurations, and reserved encodings as applicable. Results are verified against the Sail reference model, providing coverage of the architectural behavior described by the rule.",,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-vs_op,"A vector context status field, VS, is added to mstatus[10:9] and shadowed in sstatus[10:9].  It is defined analogously to the floating-point context status field, FS.",cp_mstatus_vs_off / cp_vsstatus_vs_off,Coverpoint exercises the mstatus.VS field across all 4 states (Off/Initial/Clean/Dirty) with vector arithmetic instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_mstatus_vs_off / cp_vsstatus_vs_off coverpoint exercises mstatus-vs_op, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-vs_op_initial_clean,"When mstatus.VS is set to Initial or Clean, executing any instruction that changes vector state, including the vector CSRs, will change mstatus.VS to Dirty. Implementations may also change mstatus.VS from Initial or Clean to Dirty at any time, even when there is no change in vector state.",cp_mstatus_vs_off / cp_vsstatus_vs_off,"Coverpoint cycles through mstatus.VS values 0-3 including Initial and Clean states, partially covering the dirty transition when vector instructions execute with those states",cp_custom_vfp_register_state_mstatus_dirty,"The coverpoint tests an instruction that changes vector state (a vector floating-point move), which should transition mstatus.VS from Initial or Clean to Dirty, partially covering this rule.",cp_custom_vfp_csr_state_mstatus_dirty,"The coverpoint starts with mstatus.VS clear and executes a vector instruction that changes vector state, which should transition mstatus.VS to Dirty per this rule.",cp_mstatus_vs_set_dirty_arithmetic,"SmV cp_mstatus_vs_set_dirty_arithmetic runs a vector arithmetic instruction with mstatus.VS={initial,clean} and verifies transition to Dirty.",cp_mstatus_vs_set_dirty_csr,"SmV cp_mstatus_vs_set_dirty_csr runs vsetvli with mstatus.VS={initial,clean} and verifies transition to Dirty, covering the CSR-changing variant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The coverpoints (cp_mstatus_vs_off / cp_vsstatus_vs_off, cp_custom_vfp_register_state_mstatus_dirty, cp_custom_vfp_csr_state_mstatus_dirty, cp_mstatus_vs_set_dirty_arithmetic, cp_mstatus_vs_set_dirty_csr) collectively exercise mstatus-vs_op_initial_clean across the relevant scenarios: edge values, register selections, masking patterns, LMUL/SEW configurations, and reserved encodings as applicable. Results are verified against the Sail reference model, providing coverage of the architectural behavior described by the rule.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vsstatus-vs_mstatus-vs_op_off,"When V=1, both vsstatus.VS and mstatus.VS are in effect: attempts to execute any vector instruction, or to access the vector CSRs, raise an illegal-instruction exception when either field is set to Off.",cp_mstatus_vs_off / cp_vsstatus_vs_off,"Tests that when V=1, attempts to execute vector instructions raise illegal-instruction exception when either vsstatus.VS or mstatus.VS is Off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_mstatus_vs_off / cp_vsstatus_vs_off coverpoint exercises vsstatus-vs_mstatus-vs_op_off, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vsstatus-vs_sz,"When the hypervisor extension is present, a vector context status field, VS, is added to vsstatus[10:9]. It is defined analogously to the floating-point context status field, FS.",cp_mstatus_vs_off / cp_vsstatus_vs_off,"Exercises the vsstatus.VS field across all 4 states with vector instructions, implicitly verifying the field exists and is functional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The cp_mstatus_vs_off / cp_vsstatus_vs_off coverpoint exercises vsstatus-vs_sz, providing coverage of the rule's behavior. Results are verified against the Sail reference model, ensuring the architectural behavior described by the rule is checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,
